primary_name,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
chispa,XC109311.ogg,5686.422025240385,2199.50217467088,-0.49232057515275846,-0.1373109934258525,5673.9990234375,5686.243024996729,5686.063544965928,
chispa,XC125180.ogg,4659.597911005435,533767.6500897163,-2.8938017753921152,6.463630974603545,4823.4375,4579.054972549795,4461.89743056501,
chispa,XC125183.ogg,5260.792236328125,43169.34192065517,-0.03274659083715487,-1.3274385254407688,4995.703125,5256.687883830587,5252.57890389155,
chispa,XC125185.ogg,4464.9051122840265,105588.6123317806,-0.7215456878190458,-0.29721637954867086,4651.171875,4452.606296243248,4439.799432012186,
chispa,XC125186.ogg,4231.9921875,36134.43845716016,3.3793079194141824,9.672465404633705,4177.44140625,4228.232442975204,4224.807113768027,
chispa,XC125188.ogg,3728.077456825658,255829.68653689747,0.5665395585638595,-0.06041574122717375,3779.0771484375,3695.7081579403666,3664.3322646297206,
chispa,XC125190.ogg,4976.058799342105,4285.397670770946,-0.7631830636844297,1.1431221596086765,4974.169921875,4975.632812473636,4975.203824562018,
chispa,XC125192.ogg,5436.354627107319,57289.05868012447,-0.8085861719257469,2.426729280754758,5512.5,5430.967887496262,5425.407035780445,
chispa,XC125194.ogg,4440.634843247599,79883.52615727157,2.2076034176524084,5.034049391825178,4274.3408203125,4432.365529533859,4424.74673265538,
chispa,XC131373.ogg,,
chispa,XC131434.ogg,,
chispa,XC131573.ogg,5.38330078125,38.63990306854248,0.0,-2.0,0.0,0.0,0.0,
chispa,XC131638.ogg,6303.104393635321,26525.06142497405,1.8698049254126714,4.3231023900735694,6276.9287109375,6301.06970783169,6299.09511458869,
chispa,XC131639.ogg,4247.42431640625,193.1995153427124,0.0,-1.3599999999999999,4231.2744140625,4247.407258974604,4247.39020152378,
chispa,XC131640.ogg,5500.491098257212,49930.27293574216,-0.812715242260919,0.8667840197851562,5544.7998046875,5495.930144767227,5491.254609248297,
chispa,XC131641.ogg,5993.913302951389,10312.48569901627,0.41082287895484765,-0.4673081316008214,5996.9970703125,5993.058910857271,5992.208247517613,
chispa,XC132415.ogg,2217.0917217548076,433.95583446209247,-2.330617541773028,5.087750985175422,2217.919921875,2217.000088249802,2216.907137626159,
chispa,XC133489.ogg,2669.219970703125,31560.89719046246,0.337529121289996,-1.8820740741791393,2530.1513671875,2663.8717652477058,2658.6093342314916,
chispa,XC133534.ogg,6707.778404498922,68524.78250996387,0.4093800205474024,-1.3610380145923706,7095.1904296875,6702.807433579064,6697.888460624028,
chispa,XC137480.ogg,4982.175856370192,718.201599140399,0.2035768777927038,-0.7951347946635088,4963.4033203125,4982.105676321964,4982.035545491155,
chispa,XC137966.ogg,,
