primary_name,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
carchi,XC111140.ogg,6073.8483297413795,1812609.3687785082,-0.468714089480947,-1.408717395596941,7256.689453125,5915.45551342905,5746.696549238679,
carchi,XC112508.ogg,7477.40478515625,405.71898221969604,0.0,-1.2685714285714287,7450.48828125,7477.38217701743,7477.359568846985,
carchi,XC112509.ogg,6714.7705078125,357573.6629962921,1.7862453141169845,1.1953338671554548,6449.1943359375,6694.491803662117,6676.019822195729,
carchi,XC112510.ogg,7202.8564453125,44855.40747642517,0.1524854700047679,1.8809473170200404,7105.95703125,7199.887506392753,7196.918766384525,
carchi,XC112633.ogg,4044.29443359375,40016.149823007916,0.4252014280565577,-1.7839053215980074,3886.7431640625,4039.574115298841,4034.922817223901,
carchi,XC113373.ogg,8297.4609375,38.63990306854248,-0.7071067811865475,-1.5,8301.0498046875,8297.4593847739,8297.457831600228,
carchi,XC121929.ogg,6302.674932065217,1807174.9792763367,-0.4569581295863356,-1.763455573408201,4575.8056640625,6154.197084277185,5999.036656930133,
carchi,XC121930.ogg,7107.1533203125,4997.427463531494,1.2309258474948284,-0.3140024677170792,7062.890625,7106.8431824692625,7106.535417394419,
carchi,XC121933.ogg,7138.2568359375,19080.384135246277,0.5369794098886798,-1.1810014040444157,6976.7578125,7137.049602657413,7135.850263030537,
carchi,XC121934.ogg,7445.10498046875,19667.710661888123,-1.1411092107779326,-0.677108703455676,7235.15625,7444.101805014452,7443.086115502977,
carchi,XC121935.ogg,,
carchi,XC123408.ogg,5753.829435022866,174679.26843646096,-1.0773173465918553,0.9499176197435588,5372.5341796875,5738.102347431547,5721.369126756703,
carchi,XC123410.ogg,6436.63330078125,343.8951373100281,0.5335719665649992,-1.4505744224214114,6427.6611328125,6436.611059945257,6436.588839928285,
carchi,XC124069.ogg,6757.119140625,11974.505960941315,-0.3971611690711361,-1.817277190562362,6632.2265625,6756.407518061217,6755.693224717511,
carchi,XC130533.ogg,9649.0283203125,81.14379644393921,-0.3436215967445456,-1.153061224489796,9646.875,9649.024955855319,9649.021590753922,
carchi,XC135096.ogg,6156.18896484375,5189.400315284729,-0.1816635186776374,-0.31082572581713164,6190.7958984375,6155.781914982754,6155.374235972499,
carchi,XC135106.ogg,5668.381666100543,1302820.2372200405,1.0694991574398405,-0.8244198173656767,5081.8359375,5570.993399152767,5486.571860516071,
carchi,XC135127.ogg,6255.3955078125,288871.9153404236,1.7673388404973016,3.1322487454772343,5889.3310546875,6235.518729331977,6217.230053230689,
carchi,XC138604.ogg,6114.863024259868,897263.2901919517,-0.9194190208771054,-1.0007424024471159,4618.8720703125,6037.496898966465,5952.82471817559,
