,peak0_accuracy,peak0_autocorr0_accuracy,peak0_autocorr0_freqency,peak0_autocorr0_prominence,peak0_autocorr0_width,peak0_autocorr0_width_height,peak0_autocorr1_accuracy,peak0_autocorr1_freqency,peak0_autocorr1_prominence,peak0_autocorr1_width,peak0_autocorr1_width_height,peak0_autocorr2_accuracy,peak0_autocorr2_freqency,peak0_autocorr2_prominence,peak0_autocorr2_width,peak0_autocorr2_width_height,peak0_freqency,peak0_prominence,peak0_width,peak0_width_height,peak1_autocorr0_accuracy,peak1_autocorr0_freqency,peak1_autocorr0_prominence,peak1_autocorr0_width,peak1_autocorr0_width_height,peak1_autocorr1_accuracy,peak1_autocorr1_freqency,peak1_autocorr1_prominence,peak1_autocorr1_width,peak1_autocorr1_width_height,peak1_autocorr2_accuracy,peak1_autocorr2_freqency,peak1_autocorr2_prominence,peak1_autocorr2_width,peak1_autocorr2_width_height,peak2_accuracy,peak2_freqency,peak2_prominence,peak2_width,peak2_width_height,primary_label,peak1_accuracy,peak1_freqency,peak1_prominence,peak1_width,peak1_width_height,peak2_autocorr0_accuracy,peak2_autocorr0_freqency,peak2_autocorr0_prominence,peak2_autocorr0_width,peak2_autocorr0_width_height,peak2_autocorr1_accuracy,peak2_autocorr1_freqency,peak2_autocorr1_prominence,peak2_autocorr1_width,peak2_autocorr1_width_height,peak2_autocorr2_accuracy,peak2_autocorr2_freqency,peak2_autocorr2_prominence,peak2_autocorr2_width,peak2_autocorr2_width_height,peak3_accuracy,peak3_freqency,peak3_prominence,peak3_width,peak3_width_height,peak4_accuracy,peak4_freqency,peak4_prominence,peak4_width,peak4_width_height,peak3_autocorr0_accuracy,peak3_autocorr0_freqency,peak3_autocorr0_prominence,peak3_autocorr0_width,peak3_autocorr0_width_height,peak3_autocorr1_accuracy,peak3_autocorr1_freqency,peak3_autocorr1_prominence,peak3_autocorr1_width,peak3_autocorr1_width_height,peak3_autocorr2_accuracy,peak3_autocorr2_freqency,peak3_autocorr2_prominence,peak3_autocorr2_width,peak3_autocorr2_width_height,peak4_autocorr1_accuracy,peak4_autocorr1_freqency,peak4_autocorr1_prominence,peak4_autocorr1_width,peak4_autocorr1_width_height,peak4_autocorr2_accuracy,peak4_autocorr2_freqency,peak4_autocorr2_prominence,peak4_autocorr2_width,peak4_autocorr2_width_height,peak4_autocorr0_accuracy,peak4_autocorr0_freqency,peak4_autocorr0_prominence,peak4_autocorr0_width,peak4_autocorr0_width_height
0,,,15.625,12.73169249433982,1.40236660857994,17.882870482117838,0.4338507773313187,78.125,0.8014818811933708,1.766318772436458,0.5747102306597969,0.3493237725121885,140.625,0.1823040821828006,1.5368626634184697,0.2082423707481293,15.625,4.68738924179825,1.5966235126083994,16.013216787969473,0.5896046617170798,390.625,18.691178672807677,2.4366748515808325,9.416023991788622,,15.625,10.157175106892208,1.8832667562784668,8.469972344674348,0.2792943418404028,78.125,2.4829125059914023,1.387528998389734,3.838372418469029,1.0,390.625,0.6404640601006307,4.1501598272453535,0.5844198802707252,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.6211827991205123,234.375,22.987350963535416,2.639795652568923,11.514706926689398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tropar,0.6115641345382952,234.375,1.8543932690672655,23.1698481016998,1.8955889053881663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,15.625,14.138254229960099,1.629873112855035,16.78610349349846,,,,,,,,,,,15.625,6.692302184731545,1.6713563447604622,16.629119005384368,,,,,,,,,,,,,,,,,,,,,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.43724573275192347,0.6216617964155715,437.5,22.76520076268307,2.6431377812916104,11.431994906195575,0.5820620790580042,250.0,1.5335355099123837,2.3926998482121142,0.9197955207773568,0.4769802699387844,312.5,1.3815448530811174,1.9119737603072018,1.0697366512676107,437.5,3.979926021032414,37.316465146842965,3.4606338007839135,0.5400397601447414,62.5,23.261301614146003,2.1741009621063823,11.834165918976828,0.519850281943089,500.0,4.046098677797356,2.08268371800121,2.1778599853306972,0.5157983665050071,937.5,3.2556784591119277,2.0652553209743374,1.6685921096404739,0.30826970357721895,62.5,0.9882647835128029,1.4456501401939557,2.13592215327937,tropar,,,,,,0.6124105652314698,265.625,22.995390180997266,2.5800496873636494,11.603618736717356,0.5699178856575968,828.125,1.2309191206320258,2.3251373787747553,0.6909080377516674,0.4870763185980149,437.5,1.149263210066601,1.9496077803751994,0.8260400350811234,0.555998910310794,265.625,0.5076437771083366,2.2522467246645377,5.157887816225008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,0.5808499322280556,515.625,21.79943139327364,2.385780360994932,10.948262678608954,0.573161290335559,1015.625,6.865883200862348,2.3428053205065424,3.49277110826301,0.5168391315685181,1078.125,4.345571176740709,2.069704037179932,3.57291300637921,,,,,,,,,,,,,,,,,,,,,,,,,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,0.4243586250851903,515.625,1.9697938525750642,6.948770839469223,1.217926019025691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.08137735552405323,,,,,,,,,,,,,,,,5921.875,4.117735845662597,140.4276290985528,2.0901585735477672,0.6134718360997956,3218.75,22.18334284428448,2.5871335995536526,11.093342943708196,0.5150007650797017,2968.75,3.268884700275179,2.061858922652391,2.1007862378087556,0.47362206089144776,3406.25,1.919752255824038,1.8997756663084147,1.281254342183833,,,,,,tropar,0.21553560305299746,3218.75,1.5226108746552907,59.91349025260513,1.4916980730607743,0.6051769671020581,1531.25,21.43653861886202,2.532780300734103,10.719411503725157,,,,,,0.6130832993564731,2718.75,2.9442043912763394,2.584535633475582,1.4904170360254967,1.0,1531.25,0.8915235250036583,3.283250490424848,1.151195696598569,0.507254815207234,2734.375,0.5580881011749015,2.0294465189356856,1.7796004707018114,0.5953042596751026,2734.375,23.10583127514601,2.4709921562237867,11.559631682099077,0.5653471644231733,1546.875,2.8441808419738397,2.3006867047649706,1.4333866189854994,0.5055333430439224,3359.375,2.4926543415236964,2.022381056300077,1.286261601394743,,,,,,,,,,,,,,,
8,,0.6195535700241395,500.0,22.84846290601829,2.6284909548591386,11.47119680899371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46483987457451503,500.0,1.4039356874682574,46.714990172564654,1.586208652472893,tropar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9064217132477304,0.6152134752761863,843.75,23.287095940086807,2.598843607420413,11.66318260876728,0.5400502438983052,1406.25,0.7242223526516379,2.1741505169510305,0.38677892652402185,0.5216906395718375,343.75,0.6105598229596954,2.090697115157525,0.32715562422196853,843.75,2.9434801606590346,64.1174380108479,3.2249030382273722,0.5620074206357971,62.5,24.1500249471341,2.283143704059133,12.30703877374258,0.5198596014411359,1000.0,0.8091387991711875,2.0827241427746728,0.41081136382340727,0.5039471734696533,1062.5,0.7040658520602522,2.015914327098031,0.43987387991010435,,,,,,tropar,0.4333899068939552,62.5,2.57640647507537,3.5297641611648576,4.2935069242612744,0.554731483323867,187.5,23.560769523959202,2.2458358553280604,11.833872606606587,0.5414452377580634,1187.5,0.8644517088608294,2.180764616009796,0.4529014953158612,0.5671952644133693,562.5,0.6586374943430902,2.310510763345931,0.364350840683191,0.45972131887266743,187.5,1.6213942182424521,1.8508966482138884,2.925089743296461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
