,peak0_accuracy,peak0_freqency,peak0_prominence,peak0_width,peak0_width_height,peak2_accuracy,peak2_freqency,peak2_prominence,peak2_width,peak2_width_height,primary_label,peak1_accuracy,peak1_freqency,peak1_prominence,peak1_width,peak1_width_height,peak3_accuracy,peak3_freqency,peak3_prominence,peak3_width,peak3_width_height,peak4_accuracy,peak4_freqency,peak4_prominence,peak4_width,peak4_width_height
0,0.5124821996367381,2812.5,4.0328515766201365,149.73812227082962,2.4219599334063457,0.2994643173687179,343.75,1.2731389018059156,11.419832277424042,1.4655674106616807,towsol,,,,,,,,,,,,,,,
1,0.09721279848689668,2812.5,6.035061374244955,38.76882607699662,3.019492751993069,0.7333426192336929,2546.875,2.0555365142898863,3.7501305875211415,4.276086913224254,towsol,0.17587940586897366,718.75,3.7415925842428486,19.414634355631907,2.3845784643958075,0.6029483253592671,3046.875,1.179611109397332,2.518563864274938,3.29859493375158,0.7052062285297647,3218.75,1.0224433626213636,3.3922019281909,2.5818585814230164
2,0.09773652045164473,2765.625,5.928383241167071,49.874566598357255,3.066143893090219,0.5482817883781675,3375.0,0.9418918538521216,2.2137695011446112,3.2800467423337016,towsol,0.7619259433797411,2562.5,1.0185397038685502,4.200373674461531,3.967814074883688,0.6188802445304298,3187.5,0.7907578002838451,5.2476943829265394,3.613492271021269,0.7488525573675314,46.875,0.7329119032519837,3.9817247968692593,0.5166671262262396
3,0.6576056926296754,2781.25,11.915414559931284,2.9206093047523325,6.447324745957048,0.9858604182122735,1109.375,1.286985959301925,70.72344960499659,1.9851531898437975,towsol,0.5755007508624562,2875.0,5.22022740504904,2.3557167698922967,5.777758648768527,1.0,1484.375,0.2635951429233705,3.329193797106712,2.3382579834185933,0.5373790580995746,1296.875,0.22154603785512567,2.1615969132137565,2.4332961287984856
4,0.685641873504844,46.875,9.227701893371016,6.362170503744934,8.144988627598321,,,,,,towsol,0.6046250061229752,2546.875,3.172365189431084,5.058488854816318,1.6609433515917544,,,,,,,,,,
5,0.31178365772851824,1328.125,1.105506910574252,15.983346114238033,0.6521928907893599,0.7577877825082233,3093.75,0.14822860579502145,4.128610894840392,0.4760921127526964,towsol,0.10041140212097087,2906.25,0.7484660836624325,33.34857741720089,0.5139535115604783,0.6617207222621928,3406.25,0.1388701872667923,2.9561373273803615,0.4724755398996,0.5646942336233698,2000.0,0.13281763495958135,6.89170746569981,0.2315363274221541
6,0.7476669012788706,2609.375,9.537036028439118,3.9630155737324335,4.806378491180122,0.4323967609346181,2968.75,4.2185954745729015,7.047176134136264,4.640090678394156,towsol,0.4085109650502599,343.75,4.95245790522634,6.762593663870517,2.6412845299920518,0.6383528927652133,3265.625,1.7200103967986715,2.7651265003781305,2.3849632871105917,0.7163522814228436,2765.625,1.4455209339394637,3.52549988773481,3.5229430664735406
7,0.6752204205203212,125.0,7.581762632522497,6.158022629391138,3.8842905420432734,1.0,2515.625,1.3172796201374766,4.1862647086618665,2.832551226167423,towsol,0.08152522244039684,2906.25,4.098960103136688,37.017891868885435,2.318363722492292,0.6502530241075342,2640.625,0.9407300927010304,2.8592098543475686,2.8441372813662134,0.6015705448949017,2781.25,0.8729460903026212,2.509854598315826,2.8562087781557395
8,0.13159043201866027,2906.25,6.397581880652843,29.939789885593115,3.2055560128687834,0.5895548823047596,3046.875,1.4218264006654353,2.4363793279239587,4.867628693845268,towsol,0.5250908720320765,3484.375,2.251747434746373,2.1056659918895946,3.8600496594458895,0.6184897825483078,2484.375,1.290692750261042,5.242323556519806,3.0799374051228323,0.5348888683797868,2359.375,0.72613553826064,2.150023794348897,2.202950233004947
9,0.0895123045086984,2671.875,4.814134814309045,57.11224902599113,2.417534716032792,0.6961905178411314,2796.875,0.4108677215914813,3.291536501408729,4.415559670398401,towsol,,4609.375,1.3042029356361602,39.603662437051405,2.062196709670352,0.7346026147448901,2546.875,0.4043141027658335,3.7679346352216783,3.8384763841351273,0.50559539904827,3812.5,0.34217621163086376,2.022634898775209,1.9399806688243144
