,peak0_accuracy,peak0_freqency,peak0_prominence,peak0_width,peak0_width_height,peak2_accuracy,peak2_freqency,peak2_prominence,peak2_width,peak2_width_height,peak3_accuracy,peak3_freqency,peak3_prominence,peak3_width,peak3_width_height,peak4_accuracy,peak4_freqency,peak4_prominence,peak4_width,peak4_width_height,primary_label,peak1_accuracy,peak1_freqency,peak1_prominence,peak1_width,peak1_width_height
0,0.20556958316839014,3406.25,5.43205159188873,31.469087122452265,2.873980792724204,0.8737114895893647,3875.0,2.4468539243425806,15.836753426712134,3.5174843284937216,0.6145568183706234,3531.25,2.256353305856332,2.594416110236324,4.281776926803475,0.4997853916714161,1718.75,1.8618123478607045,9.995709674907316,1.646558707612269,higmot1,,,,,
1,0.7492000970034938,1265.625,5.958526971854964,11.961727114550724,3.616337670455365,0.4815532060290117,484.375,2.3367254336640957,5.786514710645268,2.1354203743541973,,,,,,0.6840048181000069,3968.75,1.1960436488081916,3.1646052132417712,3.7426076976636815,higmot1,0.976468591619068,3859.375,4.010742508499378,42.4963939179398,2.5698390994424902
2,,,,,,,,,,,0.4837721349400134,3500.0,1.379426200943712,7.748516247830197,1.1495734213937805,,,,,,higmot1,,,,,
3,,,,,,,,,,,,,,,,0.7114003475441175,468.75,1.6724573706429773,3.465007637709707,1.0949583378496193,higmot1,,,,,
4,0.4240700040680816,468.75,10.036625329298094,5.208966404234023,5.776735740931223,0.7758111909564411,62.5,3.938799619519152,4.460525948044554,3.4088445886291296,0.7699497622515817,3406.25,2.051863770260141,4.346876620460591,2.275588252774833,0.6208643421580148,2562.5,1.943662494809908,2.6375783425171164,2.11810115671122,higmot1,0.18565144606226847,3984.375,4.685238754882136,14.735704928773742,3.3462773353244453
5,0.7868306732169996,453.125,9.28058714805538,4.691106432108633,5.360620926157894,0.487687425372443,62.5,4.6808289613656715,3.9038666998442655,3.828578375933912,0.7592456119603634,3406.25,1.9840162119689868,4.153610690723384,2.6123278414071325,,,,,,higmot1,0.14811913352440909,4062.5,4.9496354823422735,15.260349787856741,3.464019421721578
6,0.8951636773438061,3843.75,7.625469579532329,19.077357439929585,4.389420414582469,,,,,,1.0,3984.375,1.6540216617771255,4.048720883507599,5.556567296661839,0.5447078897826387,62.5,1.3178190107902727,2.1963921130163877,1.5803194415287818,higmot1,0.4404314109661028,484.375,6.246630586243639,5.36127305712342,3.9708128068035133
7,0.7402256688507315,437.5,3.9477925309745223,3.8494950427776935,2.5225051121633286,,,,,,,,,,,,,,,,higmot1,0.6818812099057551,3937.5,0.2656572892413741,3.14347982935476,0.31704286754019223
8,0.5253959628858297,515.625,12.237311914079076,4.214039164439053,6.304132707352061,0.6085645946258998,3312.5,1.4939645219073971,2.554699923079994,2.037117394723415,0.2965153175693742,2203.125,1.0063205625253169,12.79345552898735,2.329729482374853,0.7086568560695942,46.875,0.8948148281156821,6.864757388894472,1.339377975389968,higmot1,0.7691567851818992,1000.0,1.6561735503782895,17.327778090215517,2.844917028151576
9,0.8746867360735151,984.375,7.362541558286314,23.940003683568197,3.692570979397784,0.6659220769639416,1109.375,0.39780496005974003,2.9933136284856086,6.2138329374650345,0.2535860591792122,1140.625,0.27376318758429274,1.3397391786390784,6.273772688094425,0.5102650250259889,328.125,0.2373593633472948,2.041920734889452,1.5134880990421946,higmot1,1.0,437.5,0.5374695651489574,4.112474759986179,1.5229957217426835
