,peak0_accuracy,peak0_autocorr0_accuracy,peak0_autocorr0_freqency,peak0_autocorr0_prominence,peak0_autocorr0_width,peak0_autocorr0_width_height,peak0_freqency,peak0_prominence,peak0_width,peak0_width_height,peak1_accuracy,peak1_freqency,peak1_prominence,peak1_width,peak1_width_height,peak2_autocorr0_accuracy,peak2_autocorr0_freqency,peak2_autocorr0_prominence,peak2_autocorr0_width,peak2_autocorr0_width_height,peak2_autocorr1_accuracy,peak2_autocorr1_freqency,peak2_autocorr1_prominence,peak2_autocorr1_width,peak2_autocorr1_width_height,peak3_accuracy,peak3_freqency,peak3_prominence,peak3_width,peak3_width_height,primary_label,peak0_autocorr1_accuracy,peak0_autocorr1_freqency,peak0_autocorr1_prominence,peak0_autocorr1_width,peak0_autocorr1_width_height,peak0_autocorr2_accuracy,peak0_autocorr2_freqency,peak0_autocorr2_prominence,peak0_autocorr2_width,peak0_autocorr2_width_height,peak1_autocorr0_accuracy,peak1_autocorr0_freqency,peak1_autocorr0_prominence,peak1_autocorr0_width,peak1_autocorr0_width_height,peak1_autocorr1_accuracy,peak1_autocorr1_freqency,peak1_autocorr1_prominence,peak1_autocorr1_width,peak1_autocorr1_width_height,peak1_autocorr2_accuracy,peak1_autocorr2_freqency,peak1_autocorr2_prominence,peak1_autocorr2_width,peak1_autocorr2_width_height,peak2_autocorr2_accuracy,peak2_autocorr2_freqency,peak2_autocorr2_prominence,peak2_autocorr2_width,peak2_autocorr2_width_height,peak4_accuracy,peak4_freqency,peak4_prominence,peak4_width,peak4_width_height,peak2_accuracy,peak2_freqency,peak2_prominence,peak2_width,peak2_width_height,peak3_autocorr0_accuracy,peak3_autocorr0_freqency,peak3_autocorr0_prominence,peak3_autocorr0_width,peak3_autocorr0_width_height,peak3_autocorr1_accuracy,peak3_autocorr1_freqency,peak3_autocorr1_prominence,peak3_autocorr1_width,peak3_autocorr1_width_height
0,0.5372324091614988,0.5194534374507446,31.25,19.685944314162032,2.080963798169925,13.78399825542766,31.25,7.283172345682473,2.160911913014636,10.258560630828685,0.11023601417857865,4218.75,3.6597340999718204,17.98229671571721,2.1926377027786192,0.5968536506954636,2671.875,23.8709626402341,2.4804887895551815,11.936101086206255,0.22334712779749777,2609.375,0.8638764091549695,1.2875765168602413,1.166739641095404,0.28273823843878243,2671.875,1.7820299200338376,13.9419114971829,1.335796669133695,scrtan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.45282839911422124,0.6274928553624657,468.75,22.83268311283413,2.6845122688131084,11.420732757875866,468.75,6.473649474293199,42.03434528174867,3.443712075833759,,,,,,0.561589125568771,109.375,22.68045886719878,2.2809653188857304,11.35324284292383,0.48816101622621333,421.875,3.7198566263624966,1.9537394213840535,1.9151404036261301,0.5976445896202504,359.375,0.9716085124742806,2.485364864501719,4.8881880367189385,scrtan1,0.5687094949675202,593.75,1.5271511046330946,2.3186228037287577,0.8322587663679,0.44810622556503055,359.375,0.9349580710315027,1.811942888871691,0.7405465913376126,0.6102524139546941,359.375,22.879916860730912,2.565763165198298,11.45285897359758,0.5034807187683411,484.375,5.156931569166774,2.01402047775348,2.701482191968225,0.5584092892760135,234.375,0.6441835509909216,2.2645403893585154,0.3865189216177866,0.5734103875964385,609.375,3.2404438754950773,2.344173348163906,1.6723886914458244,0.5275180204427434,109.375,0.854005231712877,2.1164828358894425,1.072379309728392,,,,,,,,,,,,,,,
2,,0.5809273180453155,453.125,23.728462757029472,2.386220918375521,11.876488780845056,,,,,0.21609257523619763,453.125,2.854553191491171,10.205286679623509,1.917198884439591,0.6053154306110529,687.5,23.545288479340233,2.5336688524413447,11.795965826062075,,,,,,0.6646668027783085,687.5,1.1116439762761126,2.982108566301271,2.181795698111792,scrtan1,0.5144197250142849,1015.625,0.7523732770134908,2.0593917247347377,0.4080012142029573,,,,,,0.5757614499968698,203.125,24.267747526277546,2.3571643830873494,12.150741514584361,,,,,,,,,,,,,,,,1.0,890.625,0.6442395505221437,3.126649838851897,1.8963391727597674,0.4809962821094832,203.125,1.2345581628409354,1.9267684710708544,2.296185802404468,0.6073964985304292,890.625,23.356881983775683,2.5470990356857683,11.71833583188293,,,,,
3,,,15.625,12.377329921295681,1.4263380396363536,17.831484706850215,,,,,1.0,15.625,2.3231011931933674,2.035345254804481,8.532875318399462,0.5793240536321502,656.25,23.797176405782494,2.377126642571511,11.934157774344243,0.6249535222983371,93.75,2.232022520973496,2.6663361995242276,1.1921123189442726,0.26680034527518826,125.0,1.401868594581317,1.3638849848822217,7.644845804597317,scrtan1,0.4154860149345331,140.625,0.6584575547830456,1.7108230522285925,0.5813958577459749,,,,,,0.5746851662289966,125.0,21.70894838650702,2.351199442383937,11.51939012264751,0.2777200422800449,62.5,4.352136864757129,1.384504705290083,6.119335757389967,0.15768223564054107,187.5,1.1622190209725243,1.1872004157011347,2.396647862702528,,,,,,0.6163361786344557,656.25,1.252216876640903,2.60644852162703,2.2798105726427664,,,,,,,,,,,,,,,
4,,0.619458677762277,968.75,23.040676857395102,2.6278355110547054,11.52144170556677,,,,,,,,,,,,,,,,,,,,,,,,,scrtan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9099791989150446,968.75,2.7116625346627754,88.86834935461366,2.134977514583463,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrtan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,0.5221666030256543,31.25,19.771886797324704,2.0927796305826,13.640819930807403,31.25,4.469758617252543,3.729429819580922,4.563486248091738,,,,,,0.6187525101522338,265.625,23.102173038544805,2.622968089309399,11.598047846957645,,,,,,0.4475243147194171,265.625,1.9525978321946225,7.240137632425473,4.343962133744764,scrtan1,0.5405275596296943,343.75,0.7877120932891096,2.1764090990834255,0.4646393039724969,0.5362634611695427,281.25,0.4110427986354671,2.1563968250636414,0.3796970052782304,,,,,,,,,,,,,,,,,,,,,0.12208899109403581,2890.625,1.6374358187904874,26.198555168663574,1.9381160056540143,0.4183443047902091,4156.25,1.9819544163884966,27.507682176530807,1.8362584779820577,0.6043453212626985,2890.625,22.998173174613367,2.5274565264624584,11.502775920914063,0.5653759754216088,265.625,2.08597997757914,2.300839216078895,1.1887005662183536
7,,0.6162520274151555,109.375,22.987720298035345,2.605876959464341,11.52696610198655,,,,,,,,,,,,,,,,,,,,0.5078721897958272,109.375,2.111002021131998,6.095977381882497,1.4307244714180112,scrtan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scrtan1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,0.5486505723088685,31.25,23.748758119110022,2.215578305073918,12.72081717480103,31.25,13.099795628989295,3.5806833517277776,8.769597667386767,,,,,,,,,,,,,,,,0.29607164220660054,187.5,0.795044774724226,1.4205991120100556,2.537628404484537,scrtan1,,,,,,,,,,,0.5735559674006504,187.5,23.536531060248272,2.3449736039324875,12.044892679102432,0.5400680699366185,62.5,3.513699998491262,2.1742347826605424,2.095723078750491,0.5023937971535684,375.0,1.1258818631466583,2.0096212512620433,0.6094752048438192,,,,,,,,,,,,,,,,,,,,,,,,,
